name,city,state,url,img_url,mascot
Abraham Lincoln University,Los Angeles,CA,www.alu.edu,https://www.universities.com/assets/site/logos/abraham-lincoln-university-logo-25833.jpg,
Alabama State University,Montgomery,AL,www.alasu.edu,https://upload.wikimedia.org/wikipedia/en/1/18/AlStateU_seal.png,Hornets
American University,Washington,DC,www.american.edu,http://www.american.edu/ucm/resources/images/au_logo_v_1.png,Eagles
Appalachian State University,Boone,NC,www.appstate.edu/,https://s3.amazonaws.com/pa-hrsuite-production/1345/docs/19194.png,Mountaineers
Arizona State University,Tempe,AZ,www.asu.edu,http://logonoid.com/images/arizona-state-university-logo.png,Sun Devils
Arkansas State University,State University,AR,www.astate.edu,http://media.graytvinc.com/images/asu_logo_acad2c.jpg,Red Wolves
Ashland University,Ashland,OH,www.ashland.edu,https://upload.wikimedia.org/wikipedia/en/3/39/Ashland_University_logo.png,Eagles
Auburn University Main Campus,Auburn University,AL,www.auburn.edu,http://www.auburn.edu/tso_web/sites/turkish.localhost/files/images/auburn_university_logo001.jpg,Tigers
Baldwin-Wallace College,Berea,OH,www.bw.edu,http://www.american-school-search.com/images/logo/baldwin-wallace-college.png,Yellow Jackets
Bluffton University,Bluffton,OH,www.bluffton.edu,http://thecourier.com/wp-content/uploads/2016/11/BlufftonUniversityLogo.jpg,Beavers
Boston College,Chestnut Hill,MA,WWW.BC.EDU,https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Boston_College_Seal.svg/1024px-Boston_College_Seal.svg.png,Eagles
Boston University,Boston,MA,www.bu.edu,http://www.bu.edu/anthrop/files/2015/09/2000px-Boston_University_Wordmark.png,Terriers
Bowie State University,Bowie,MD,www.bowiestate.edu,https://www.bowiestate.edu/files/resources/bsu-logo_yllw-flame-blk-text.png,Bulldogs
Bowling Green State University,Bowling Green,OH,www.bgsu.edu,http://www.gmkfreelogos.com/logos/B/img/bowling_green_falcons.gif,Falcons
Bucknell University,Lewisburg,PA,www.bucknell.edu,http://www.bucknell.edu/Images/Depts/President/Seal2.gif,Bison
California State University - Fullerton,Fullerton,CA,www.fullerton.edu,http://www.ca.gov/-/media/Agencies/University-California-State/logo-CSU.ashx,Titans
California State University - Los Angeles,Los Angeles,CA,www.calstatela.edu,http://www.ca.gov/-/media/Agencies/University-California-State/logo-CSU.ashx,Golden Eagles
California State University - Northridge,Northridge,CA,www.csun.edu,http://www.ca.gov/-/media/Agencies/University-California-State/logo-CSU.ashx,Matadors
California State University - San Bernardino,San Bernardino,CA,www.csusb.edu,http://www.ca.gov/-/media/Agencies/University-California-State/logo-CSU.ashx,Coyotes
California State University - San Marcos,San Marcos,CA,www.csusm.edu,http://www.ca.gov/-/media/Agencies/University-California-State/logo-CSU.ashx,Cougars
